,blue_team,red_team,result
6036,Bilibili Gaming Junior,optical spectrum E-sports,0
6037,CERBERUS Esports,GAM Esports,0
6038,EDG Youth Team,LinGan e-Sports,1
6039,CERBERUS Esports,GAM Esports,0
6040,optical spectrum E-sports,Bilibili Gaming Junior,0
6041,Bilibili Gaming Junior,optical spectrum E-sports,1
6042,RunAway,Awesome Spear,0
6043,Victorious Gaming,All Combo,0
6044,Awesome Spear,RunAway,1
6045,All Combo,Victorious Gaming,1
6046,hyFresh Blade,Griffin,0
6047,DAMWON Gaming,T1,1
6048,Joy Dream,Shu Dai Xiong Gaming,1
6049,UQ Union,Dire Cubs,0
6050,eStar Young,Vici Gaming Potential,0
6051,Dire Cubs,UQ Union,1
6052,Joy Dream,Shu Dai Xiong Gaming,0
6053,Griffin,hyFresh Blade,1
6054,eStar Young,Vici Gaming Potential,0
6055,UQ Union,Dire Cubs,0
6056,T1,DAMWON Gaming,0
6057,Joy Dream,Shu Dai Xiong Gaming,1
6058,Suning-S,Invictus Gaming Young,1
6059,Team Flash,Team Secret,1
6060,Afreeca Freecs,KT Rolster,0
6061,V5 87,LNG Academy,1
6062,Invictus Gaming Young,Suning-S,1
